St. John's College (Annapolis)	(410) 263-2371
Georgia Health Sciences University (Augusta)	(706) 721-0211
Piedmont College (Demorest)	(706) 778-3000
Georgia Highlands College (Rome)	(706) 802-5000
Covenant College (Lookout Mountain)	(706) 820-1560
Paine College (Augusta)	(706) 821-8200
University of North Georgia (Dahlonega)	(706) 864-1400
LaGrange College (LaGrange)	(706) 880-8000
Toccoa Falls College (Toccoa)	(706) 886-7299
College of the Redwoods (Eureka)	(707) 476-4100
Santa Rosa Junior College (Santa Rosa)	(707) 527-4011
Touro University California (Vallejo)	(707) 638-5270
California Maritime Academy (Vallejo)	(707) 654-1000
Sonoma State University (Rohnert Park)	(707) 664-2880
Humboldt State University (Arcata)	(707) 826-3011
Pacific Union College	(707) 965-6311
Dominican University (River Forest)	(708) 366-2490
Triton College (River Grove)	(708) 456-0300
Governors State University (University Park)	(708) 534-5000
Trinity Christian College (Palos Heights)	(708) 597-3000
Concordia University Chicago (River Forest)	(708) 771-8300
Morningside College (Sioux City)	(712) 274-5000
Western Iowa Tech Community College (Sioux City)	(712) 274-6400
Briar Cliff University (Sioux City)	(712) 279-5321
Northwest Iowa Community College (Sheldon)	(712) 324-5061
Iowa Western Community College (Council Bluffs)	(712) 325-3200
Northwestern College (Orange City)	(712) 707-7000
Dordt College (Sioux Center)	(712) 722-6000
Buena Vista University (Storm Lake)	(712) 749-2400
University of Houston–Downtown (Houston)	(713) 221-8000
Texas Southern University (Houston)	(713) 313-7011
Rice University (Houston)	(713) 348-0000
University of St. Thomas (Houston)	(713) 522-7911
South Texas College of Law (Houston)	(713) 659-8040
University of Houston (Houston)	(713) 743-2255
Baylor College of Medicine	(713) 798-4951
Orange Coast College (Costa Mesa)	(714) 432-5072
Vanguard University of Southern California (Costa Mesa)	(714) 556-3610
Fullerton College (Fullerton)	(714) 992-7000
Dodge College of Film and Media Arts (Orange)	(714) 997-6765
Chapman University (Orange)	(714) 997-6815
University of Wisconsin–Stout (Menomonie)	(715) 232-1122
University of Wisconsin–Stevens Point (Stevens Point)	(715) 346-0123
University of Wisconsin–Superior (Superior)	(715) 394-8101
University of Wisconsin–River Falls (River Falls)	(715) 425-3911
Northland College (Ashland)	(715) 682-1699
Chippewa Valley Technical College (Eau Claire)	(715) 833-6200
Niagara University (Lewiston)	(716) 286-8700
St. Bonaventure University (Allegany)	(716) 375-2000
University at Buffalo (Buffalo)	(716) 645-2000
Hilbert College (Hamburg)	(716) 649-7900
State University of New York at Fredonia (Fredonia)	(716) 673-3111
D'Youville College (Buffalo)	(716) 829-8000
Daemen College (Amherst)	(716) 839-8225
Erie Community College (Williamsville)	(716) 851-1002
State University of New York College at Buffalo (Buffalo)	(716) 878-4000
Canisius College (Buffalo)	(716) 883-7000
Dickinson College (Carlisle)	(717) 243-5121
United States Army War College (Carlisle)	(717) 245-3131
Franklin & Marshall College (Lancaster)	(717) 291-3911
Gettysburg College (Gettysburg)	(717) 337-6300
Elizabethtown College (Elizabethtown)	(717) 361-1000
Shippensburg University of Pennsylvania (Shippensburg)	(717) 477-7447
Messiah College (Mechanicsburg)	(717) 766-2511
Harrisburg Area Community College (Harrisburg)	(717) 780-2400
York College of Pennsylvania (York)	(717) 846-7788
Lebanon Valley College	(717) 867-6161
Millersville University of Pennsylvania	(717) 871-4636
Penn State Harrisburg (Middletown)	(717) 948-6000
Polytechnic Institute of New York University (New York City)	(718) 260-3600
New York City College of Technology (Brooklyn)	(718) 260-5500
York College, City University of New York (New York City)	(718) 262-2000
Medgar Evers College (Brooklyn)	(718) 270-4900
Bronx Community College (New York City)	(718) 289-5100
Kingsborough Community College (New York City)	(718) 368-5000
Wagner College (New York City)	(718) 390-3100
College of Mount Saint Vincent (New York City)	(718) 405-3267
State University of New York Maritime College (New York City)	(718) 409-7200
LaGuardia Community College (New York City)	(718) 482-5935
LIU Brooklyn (Brooklyn)	(718) 488-1011
Hostos Community College	(718) 518-4444
Queensborough Community College (New York City)	(718) 631-6262
Pratt Institute (New York City)	(718) 636-3600
Fordham University (New York City)	(718) 817-1000
Monroe College (The Bronx)	(718) 933-6700
St. Joseph's College (New York City)	(718) 940-5300
Brooklyn College (Brooklyn)	(718) 951-5000
Lehman College (The Bronx)	(718) 960-8000
College of Staten Island (Staten Island)	(718) 982-2000
St. John's University (Queens)	(718) 990-2000
Queens College, City University of New York (New York City)	(718) 997-5000
University of Colorado Colorado Springs (Colorado Springs)	(719) 255-8227
United States Air Force Academy (Colorado Springs)	(719) 333-2025
Colorado College (Colorado Springs)	(719) 389-6000
Pikes Peak Community College (Colorado Springs)	(719) 502-2000
Colorado State University–Pueblo (Pueblo)	(719) 549-2100
Adams State University (Alamosa)	(719) 587-7011
Washington & Jefferson College (Washington)	(724) 222-4400
Indiana University of Pennsylvania (Indiana)	(724) 357-2100
Grove City College (Grove City)	(724) 458-2000
Saint Vincent College (Latrobe)	(724) 532-6600
Thiel College (Greenville)	(724) 589-2000
Waynesburg University (Waynesburg)	(724) 627-8191
University of Pittsburgh at Greensburg (Greensburg)	(724) 837-7040
Geneva College (Beaver Falls)	(724) 846-5100
Westmoreland County Community College (Youngwood)	(724) 925-4000
California University of Pennsylvania (California)	(724) 938-4000
Westminster College (New Wilmington)	(724) 946-7100
St. Petersburg College (St. Petersburg)	(727) 341-4249
University of South Florida St. Petersburg (St. Petersburg)	(727) 873-7748
Bethel University (McKenzie)	(731) 352-4000
Jackson State Community College (Jackson)	(731) 424-3520
Lane College (Jackson)	(731) 426-7500
Lambuth University (Jackson)	(731) 427-4725
Union University (Jackson)	(731) 668-1818
Freed–Hardeman University (Henderson)	(731) 989-6000
Brookdale Community College (Lincroft)	(732) 224-2345
Ocean County College (Toms River)	(732) 255-0400
Rutgers University (New Brunswick)	(732) 445-4636
Middlesex County College (Edison)	(732) 548-6000
Monmouth University (West Long Branch)	(732) 571-3400
Georgian Court University (Lakewood)	(732) 987-2700
Schoolcraft College (Livonia)	(734) 462-4400
Eastern Michigan University (Ypsilanti)	(734) 487-1849
University of Michigan (Ann Arbor)	(734) 764-1817
Washtenaw Community College (Ann Arbor)	(734) 973-3300
Eastern Gateway Community College (Steubenville)	(740) 264-5591
Franciscan University of Steubenville (Steubenville)	(740) 283-3771
Shawnee State University (Portsmouth)	(740) 354-3205
Ohio Wesleyan University (Delaware)	(740) 368-2000
Washington State Community College (Marietta)	(740) 374-8716
Marietta College (Marietta)	(740) 376-4600
Mount Vernon Nazarene University (Mount Vernon)	(740) 392-6868
Kenyon College (Gambier)	(740) 427-5000
Ohio Christian University (Circleville)	(740) 474-8896
Denison University (Granville)	(740) 587-0810
Ohio University (Athens)	(740) 593-1000
Hocking College (Nelsonville)	(740) 753-3591
Muskingum University (New Concord)	(740) 826-8211
College of William & Mary	(757) 221-4000
Regent University (Virginia Beach)	(757) 352-4127
Virginia Wesleyan College (Norfolk)	(757) 455-3200
Christopher Newport University (Newport News)	(757) 594-7000
Old Dominion University (Norfolk)	(757) 683-3000
Hampton University (Hampton)	(757) 727-5000
Tidewater Community College (Norfolk)	(757) 822-5100
Norfolk State University (Norfolk)	(757) 823-8600
Thomas Nelson Community College (Hampton)	(757) 825-2700
California State University San Marcos (San Marcos)	(760) 750-4000
Deep Springs College (Deep Springs, California)	(760) 872-2000
Ball State University (Muncie)	(765) 289-1241
Wabash College (Crawfordsville)	(765) 361-6100
Purdue University (West Lafayette)	(765) 494-4600
DePauw University (Greencastle)	(765) 658-4800
Indiana Wesleyan University (Marion)	(765) 674-6901
Indiana University East (Richmond)	(765) 973-8200
Earlham School of Religion (Richmond)	(765) 983-1423
Earlham College (Richmond)	(765) 983-1734
Taylor University	(765) 998-2751
Chattahoochee Technical College (Marietta)	(770) 528-4545
Brenau University (Gainesville)	(770) 534-6299
Reinhardt University (Waleska)	(770) 720-5600
Loyola University Chicago (Chicago)	(773) 274-3000
Saint Xavier University (Chicago)	(773) 298-3000
Northeastern Illinois University (Chicago)	(773) 583-4050
University of Chicago (Chicago)	(773) 702-1234
Chicago State University (Chicago)	(773) 995-2000
Western Nevada College (Carson City)	(775) 445-3000
Truckee Meadows Community College (Reno)	(775) 673-7000
Great Basin College (Elko)	(775) 738-8493
University of Nevada, Reno (Reno)	(775) 784-1110
Babson College (Wellesley)	(781) 235-1200
Wellesley College (Wellesley)	(781) 283-1000
Franklin W. Olin College of Engineering (Needham)	(781) 292-2300
Brandeis University (Waltham)	(781) 736-2000
Regis College (Weston)	(781) 768-7000
Massasoit Community College (Brockton)	(781) 821-2222
Bentley University (Waltham)	(781) 891-2000
Kansas State University (Manhattan)	(785) 532-6011
Baker University (Baldwin City)	(785) 594-6451
Fort Hays State University (Hays)	(785) 628-3478
Washburn University (Topeka)	(785) 670-1010
University of Kansas (Lawrence)	(785) 864-2700
St. Cloud Technical and Community College (St. Cloud)	(800) 222-1009
The Master's Seminary (Los Angeles)	(800) 225-5867
Wayne State College (Wayne)	(800) 228-9972
Adelphi University (Garden City)	(800) 233-5744
Young Harris College (Young Harris, Georgia)	(800) 241-3754
American International College (Springfield)	(800) 242-3142
Gateway Technical College (Kenosha)	(800) 247-7122
Alaska Pacific University (Anchorage)	(800) 252-7528
South Carolina State University (Orangeburg)	(800) 260-5956
Lees–McRae College (Banner Elk)	(800) 280-4562
Medaille College (Buffalo)	(800) 292-1582
Flagler College (St. Augustine)	(800) 304-4208
Dakota Wesleyan University (Mitchell)	(800) 333-8506
Pfeiffer University (Misenheimer)	(800) 338-2060
Wilmington College (Wilmington)	(800) 341-9318
North Dakota State College of Science (Wahpeton)	(800) 342-4325
University of the Cumberlands (Williamsburg)	(800) 343-1609
Schreiner University (Kerrville)	(800) 343-4919
Concord University (Athens)	(800) 344-6679
Barton College (Wilson)	(800) 345-4973
High Point University (High Point)	(800) 345-6993
Trine University (Angola)	(800) 347-4878
Moody Bible Institute (Chicago)	(800) 356-6639
King University (Bristol)	(800) 362-0014
Walsh University (North Canton)	(800) 362-9846
Eastern New Mexico University (Portales, New Mexico)	(800) 367-3668
Luzerne County Community College (Nanticoke)	(800) 377-5222
Calvin Theological Seminary (Grand Rapids)	(800) 388-6034
University of Bridgeport (Bridgeport)	(800) 392-3582
Lyon College (Batesville)	(800) 423-2542
Shenandoah University (Winchester)	(800) 432-2266
Montana Tech of the University of Montana (Butte)	(800) 445-8324
Southwestern Michigan College (Dowagiac)	(800) 456-8675
Eckerd College (St. Petersburg)	(800) 456-9009
Nichols College (Dudley)	(800) 470-3379
Malone University (Canton)	(800) 521-1146
Kentucky Christian University (Grayson)	(800) 522-3181
Hastings College (Hastings)	(800) 532-7642
Valley City State University (Valley City)	(800) 532-8641
Nova Southeastern University (Fort Lauderdale)	(800) 541-6682
Walla Walla University (College Place)	(800) 541-8900
Grace College and Theological Seminary (Winona Lake)	(800) 544-7223
Troy University (Troy)	(800) 551-9716
The Master's College (Santa Clarita)	(800) 568-6248
University of Toledo (Toledo)	(800) 586-5336
Maryville College (Maryville)	(800) 597-2687
Northwood University (Midland)	(800) 622-9000
Manhattan College (New York City)	(800) 622-9235
The College of Saint Rose (Albany)	(800) 637-8556
Fairmont State University (Fairmont)	(800) 641-5678
Southwest Minnesota State University (Marshall)	(800) 642-0684
Marshall University (Huntington)	(800) 642-3463
Midland University (Fremont)	(800) 642-8382
Lansing Community College (Lansing)	(800) 644-4522
E. Claiborne Robins School of Business (Richmond)	(800) 700-1662
Oakland City University (Oakland City)	(800) 737-5125
Vincennes University (Vincennes)	(800) 742-9198
Bellevue University (Bellevue)	(800) 756-7920
Saint Louis University (St. Louis)	(800) 758-3678
Robert Morris University (Moon)	(800) 762-0097
Southern Adventist University (Collegedale)	(800) 768-8437
Wartburg College (Waverly)	(800) 772-2085
Green Mountain College (Poultney)	(800) 776-6675
Minot State University (Minot)	(800) 777-0750
University of Southern Maine (Portland)	(800) 800-4876
Seton Hill University (Greensburg)	(800) 826-6234
Livingstone College (Salisbury)	(800) 835-3435
Elmira Business Institute (Elmira)	(800) 843-1812
Viterbo University (La Crosse)	(800) 848-3726
Franklin College (Franklin)	(800) 852-0232
Texas State Technical College (Harlingen)	(800) 852-8784
University of Great Falls (Great Falls)	(800) 856-9544
Barclay College (Haviland)	(800) 862-0226
Ferrum College (Ferrum)	(800) 868-9797
Western State Colorado University (Gunnison)	(800) 876-5309
Lourdes University (Sylvania)	(800) 878-3210
United States Coast Guard Academy (New London)	(800) 883-8724
North Park University (Chicago)	(800) 888-6728
University of Maryland University College	(800) 888-8682
Slippery Rock University of Pennsylvania	(800) 929-4778
Christ for the Nations Institute (Dallas)	(800) 933-2364
University of Science and Arts of Oklahoma (Chickasha)	(800) 933-8726
Coker College (Hartsville)	(800) 950-1908
South Dakota State University	(800) 952-3541
Cuyahoga Community College (Cleveland)	(800) 954-8742
Tiffin University (Tiffin)	(800) 968-6446
University of Mount Union (Alliance)	(800) 992-6682
University of Charleston (Charleston)	(800) 995-4682
Brigham Young University (Provo)	(801) 422-4636
Westminster College (Salt Lake City)	(801) 484-7651
LDS Business College (Salt Lake City)	(801) 524-8100
University of Utah (Salt Lake City)	(801) 581-7200
Davis Applied Technology College (Kaysville)	(801) 593-2500
Weber State University (Ogden)	(801) 626-6000
Ogden–Weber Applied Technology College (Ogden)	(801) 627-8300
Utah College of Applied Technology (Lehi)	(801) 753-6282
Utah Valley University (Orem)	(801) 863-4636
Mountainland Applied Technology College (Orem)	(801) 863-6282
Salt Lake Community College (Salt Lake City)	(801) 957-7522
Vermont Technical College (Randolph Center)	(802) 254-5570
Marlboro College	(802) 257-4333
Marlboro College Graduate School (Brattleboro)	(802) 258-9200
Landmark College (Putney)	(802) 387-6718
Bennington College (Bennington)	(802) 442-5401
Middlebury College (Middlebury)	(802) 443-5000
Southern Vermont College (Bennington)	(802) 447-4000
Goddard College (Plainfield)	(802) 454-8311
Castleton State College (Castleton)	(802) 468-5611
Norwich University (Northfield)	(802) 485-2000
Sterling College (Craftsbury, Vermont)	(802) 586-7711
Lyndon State College (Lyndonville)	(802) 626-6413
Johnson State College (Johnson)	(802) 635-2356
Saint Michael's College (Colchester)	(802) 654-2000
University of Vermont (Burlington)	(802) 656-3131
Community College of Vermont (Waterbury)	(802) 828-2800
Vermont Law School (South Royalton, Vermont)	(802) 831-1000
Champlain College (Burlington)	(802) 860-2700
Benedict College (Columbia)	(803) 253-5000
Newberry College (Newberry)	(803) 276-5010
Winthrop University (Rock Hill)	(803) 323-2211
Allen University (Columbia)	(803) 376-5700
Claflin University (Orangeburg)	(803) 535-5000
Orangeburg–Calhoun Technical College (Orangeburg)	(803) 536-0311
University of South Carolina Aiken (Aiken)	(803) 648-6851
Midlands Technical College (West Columbia)	(803) 738-8324
University of South Carolina (Columbia)	(803) 777-0169
Morris College (Sumter)	(803) 778-1620
Voorhees College (Denmark)	(803) 780-1234
Virginia Union University (Richmond)	(804) 257-5600
University of Richmond (Richmond)	(804) 289-8000
J. Sargeant Reynolds Community College (Richmond)	(804) 371-3000
Virginia State University (Petersburg)	(804) 524-5000
Randolph–Macon College (Ashland)	(804) 752-7200
John Tyler Community College (Chester)	(804) 796-4000
Virginia Commonwealth University (Richmond)	(804) 828-0100
VCU Medical Center (Richmond)	(804) 828-9408
Moorpark College (Moorpark)	(805) 378-1400
California State University, Channel Islands (Camarillo)	(805) 437-8400
California Lutheran University (Thousand Oaks)	(805) 492-2411
Thomas Aquinas College (Santa Paula)	(805) 525-4417
Cuesta College (San Luis Obispo)	(805) 546-3100
Westmont College (Santa Barbara)	(805) 565-6000
California Polytechnic State University (San Luis Obispo)	(805) 756-1111
University of California, Santa Barbara (Santa Barbara)	(805) 893-8000
Antioch University Santa Barbara (Santa Barbara)	(805) 962-8179
Santa Barbara City College (Santa Barbara)	(805) 965-0581
Wayland Baptist University	(806) 291-1000
West Texas A&M University (Canyon)	(806) 651-0000
Texas Tech University (Lubbock)	(806) 742-2011
Lubbock Christian University (Lubbock)	(806) 796-8800
South Plains College (Levelland)	(806) 894-9611
Windward Community College (Honolulu)	(808) 235-7400
Kauai Community College (Lihue)	(808) 245-8311
Leeward Community College (Honolulu)	(808) 455-0011
Hawaii Pacific University (Honolulu)	(808) 544-0200
Brigham Young University–Hawaii	(808) 675-3211
University of Hawaii–West Oahu (Kapolei)	(808) 689-2800
Kapiolani Community College (Honolulu County)	(808) 734-9000
Chaminade University of Honolulu (Honolulu)	(808) 735-4711
Honolulu Community College (Honolulu)	(808) 845-9211
University of Hawaii at Hilo (Hilo)	(808) 932-7446
Hawaii Community College (Hilo)	(808) 934-2500
University of Hawaii Maui College (Kahului)	(808) 984-3500
University of Michigan–Flint (Flint)	(810) 762-3300
Baker College (Flint)	(810) 766-4000
Indiana State University (Terre Haute)	(812) 237-6311
Indiana University – Purdue University Columbus (Columbus)	(812) 348-7390
Ivy Tech Community College-Southwest (Evansville)	(812) 426-2865
University of Southern Indiana (Evansville)	(812) 464-8600
Saint Mary-of-the-Woods College (St. Mary's)	(812) 535-5151
Indiana University Bloomington (Bloomington)	(812) 855-4848
Kelley School of Business (Bloomington)	(812) 855-8100
Hanover College (Hanover)	(812) 866-7000
Rose-Hulman Institute of Technology (Terre Haute)	(812) 877-1511
Indiana University Southeast (New Albany)	(812) 941-2333
University of Tampa (Tampa)	(813) 253-3333
Hillsborough Community College (Tampa)	(813) 253-7000
University of South Florida (Tampa)	(813) 974-2011
University of Pittsburgh at Johnstown (Johnstown)	(814) 269-7000
Allegheny College (Meadville)	(814) 332-3100
University of Pittsburgh at Bradford (Bradford)	(814) 362-7500
Clarion University of Pennsylvania (Clarion)	(814) 393-2000
Saint Francis University (Loretto)	(814) 472-3000
Juniata College (Huntingdon)	(814) 641-3600
Edinboro University of Pennsylvania (Edinboro)	(814) 732-2000
Mercyhurst University (Erie)	(814) 824-2000
Pennsylvania State University (University Park)	(814) 865-4700
Gannon University (Erie)	(814) 871-7000
Penn State Erie, The Behrend College (Erie)	(814) 898-6000
Rockford University (Rockford)	(815) 226-4000
Northern Illinois University (DeKalb)	(815) 753-1000
Kishwaukee College (Malta)	(815) 825-2086
Lewis University (Romeoville)	(815) 838-0500
Rock Valley College (Rockford)	(815) 921-7821
University of Missouri–Kansas City (Kansas City)	(816) 235-1000
Missouri Western State University (Saint Joseph)	(816) 271-4200
Kansas City Art Institute (Kansas City)	(816) 472-4852
Rockhurst University (Kansas City)	(816) 501-4100
Kansas City University of Medicine and Biosciences (Kansas City)	(816) 654-7000
Park University (Parkville)	(816) 741-2000
William Jewell College (Liberty)	(816) 781-7700
Avila University (Kansas City)	(816) 942-8400
Research College of Nursing (Kansas City)	(816) 995-2800
Texas Christian University (Fort Worth)	(817) 257-7000
Neeley School of Business (Fort Worth)	(817) 257-7527
University of Texas at Arlington (Arlington)	(817) 272-2011
Arlington Baptist College (Arlington)	(817) 461-8741
Tarrant County College (Fort Worth)	(817) 515-2789
Texas Wesleyan University (Fort Worth)	(817) 531-4444
University of North Texas Health Science Center (Fort Worth)	(817) 735-2000
Glendale Community College (Glendale)	(818) 240-1000
California State University, Northridge (Los Angeles)	(818) 677-1200
Los Angeles Pierce College (Woodland Hills)	(818) 710-4100
Western Carolina University	(828) 227-7211
University of North Carolina at Asheville (Asheville)	(828) 251-6600
Appalachian State University (Boone)	(828) 262-2000
Warren Wilson College (Swannanoa)	(828) 298-3325
Catawba Valley Community College (Hickory)	(828) 327-7000
Lenoir–Rhyne University (Hickory)	(828) 328-1741
Asheville–Buncombe Technical Community College (Asheville)	(828) 398-7900
Montreat College (Montreat)	(828) 669-8012
Brevard College (Brevard)	(828) 883-8292
Texas Lutheran University (Seguin)	(830) 372-8000
University of California, Santa Cruz (Santa Cruz)	(831) 459-0111
California State University, Monterey Bay (Seaside)	(831) 582-3000
Naval Postgraduate School (Monterey)	(831) 656-2441
The Citadel, The Military College of South Carolina (Charleston)	(843) 225-3294
Charleston School of Law (Charleston)	(843) 329-1000
Coastal Carolina University (Conway)	(843) 347-3161
Horry-Georgetown Technical College	(843) 347-3186
University of South Carolina Beaufort	(843) 521-4100
Trident Technical College (Charleston)	(843) 574-6111
Francis Marion University (Florence)	(843) 661-1362
Medical University of South Carolina (Charleston)	(843) 792-9457
College of Charleston (Charleston)	(843) 805-5507
Charleston Southern University (Charleston)	(843) 863-7000
State University of New York at New Paltz (New Paltz)	(845) 257-7869
St. Thomas Aquinas College (Sparkill)	(845) 398-4100
Dutchess Community College (Poughkeepsie)	(845) 431-8000
Vassar College (Poughkeepsie)	(845) 437-7000
The Culinary Institute of America (Hyde Park)	(845) 452-9600
Mount Saint Mary College (Newburgh)	(845) 561-0800
Marist College (Poughkeepsie)	(845) 575-3000
SUNY Ulster (Marbletown)	(845) 687-5000
Bard College (Red Hook)	(845) 758-6822
United States Military Academy (West Point)	(845) 938-4011
Lake Forest College (Lake Forest)	(847) 234-3100
Kellogg School of Management (Evanston)	(847) 467-7000
Northwestern University (Evanston)	(847) 491-3741
College of Lake County (Grayslake)	(847) 543-2000
Oakton Community College (Des Plaines)	(847) 635-1600
Elgin Community College (Elgin)	(847) 697-1000
Trinity International University (Deerfield)	(847) 945-8800
Tallahassee Community College (Tallahassee)	(850) 201-6200
University of West Florida (Pensacola)	(850) 474-2000
Pensacola State College (Pensacola)	(850) 484-2200
Florida A&M University (Tallahassee)	(850) 599-3000
Florida State University (Tallahassee)	(850) 644-2525
Florida State University School of Library & Information Studies (Tallahassee)	(850) 644-5211
Northwest Florida State College (Niceville)	(850) 729-5397
Gulf Coast State College (Panama City)	(850) 769-1551
Lake Erie College (Painesville)	(855) 467-8676
Trident University (Cypress)	(855) 805-4304
Rutgers University–Camden (Camden)	(856) 225-1766
Camden County College (Gloucester Township)	(856) 227-7200
Rowan University (Glassboro)	(856) 256-4000
Salem Community College (Carneys Point)	(856) 299-2100
Rowan College at Gloucester County (Sewell)	(856) 468-5000
Cumberland County College (Vineland)	(856) 691-8600
University of California, San Diego (San Diego)	(858) 534-2230
San Diego Miramar College (San Diego)	(858) 536-7310
John Paul the Great Catholic University (San Diego)	(858) 653-6740
Transylvania University (Lexington)	(859) 233-8300
Centre College (Danville)	(859) 238-5200
Bluegrass Community and Technical College (Lexington)	(859) 246-6200
University of Kentucky (Lexington)	(859) 257-9000
St. Catharine College (Saint Catharine, Kentucky)	(859) 336-5082
Thomas More College (Crestview Hills)	(859) 341-5800
Gateway Community and Technical College (Florence)	(859) 441-4500
Northern Kentucky University (Highland Heights)	(859) 572-5220
Eastern Kentucky University (Richmond)	(859) 622-1000
Asbury University (Wilmore)	(859) 858-3511
Asbury Theological Seminary (Wilmore)	(859) 858-3581
Berea College (Berea)	(859) 985-3000
University of Saint Joseph (West Hartford)	(860) 232-4571
Trinity College (Hartford)	(860) 297-2000
Connecticut College (New London)	(860) 447-1911
Eastern Connecticut State University (Windham)	(860) 465-5000
University of Connecticut (Mansfield)	(860) 486-4900
Manchester Community College (Manchester)	(860) 512-3000
Wesleyan University (Middletown)	(860) 685-2000
Mitchell College (New London)	(860) 701-5000
University of Hartford (West Hartford)	(860) 768-4100
The Hartt School (West Hartford)	(860) 768-4451
Tunxis Community College (Farmington)	(860) 773-1300
Central Connecticut State University (New Britain)	(860) 832-3200
Polk State College (Winter Haven)	(863) 297-1000
Florida Polytechnic University (Lakeland)	(863) 583-9050
Southeastern University (Lakeland)	(863) 667-5000
Florida Southern College (Lakeland)	(863) 680-4111
Anderson University (Anderson)	(864) 231-2000
Bob Jones University (Greenville)	(864) 242-5100
Greenville Technical College (Greenville)	(864) 250-8000
Furman University (Greenville)	(864) 294-2000
Erskine College (Due West, South Carolina)	(864) 379-2131
Lander University (Greenwood)	(864) 388-8000
Limestone College (Gaffney)	(864) 489-7151
University of South Carolina Upstate (Spartanburg)	(864) 503-5000
Spartanburg Methodist College (Spartanburg)	(864) 587-4000
Spartanburg Community College (Spartanburg)	(864) 592-4800
Converse College (Spartanburg)	(864) 596-9000
Wofford College (Spartanburg)	(864) 597-4000
Southern Wesleyan University (Central)	(864) 644-5000
Clemson University (Clemson)	(864) 656-3311
Presbyterian College (Clinton)	(864) 833-2820
North Greenville University	(864) 977-7000
Carson–Newman University (Jefferson City)	(865) 471-2000
Pellissippi State Community College (Knoxville)	(865) 694-6400
University of Tennessee (Knoxville)	(865) 974-1000
University of Texas–Pan American (Edinburg)	(866) 441-8872
Mars Hill University (Mars Hill)	(866) 642-4968
Hope International University (Fullerton)	(866) 722-4673
Henderson State University (Arkadelphia)	(870) 230-5000
Southern Arkansas University (Magnolia)	(870) 235-4000
University of Arkansas at Monticello (Monticello)	(870) 460-1026
University of Arkansas at Pine Bluff (Pine Bluff)	(870) 575-8000
University of Arkansas Community College at Batesville (Batesville)	(870) 612-2000
North Arkansas College (Harrison)	(870) 743-3000
Williams Baptist College (Walnut Ridge)	(870) 886-6741
Arkansas State University (Jonesboro)	(870) 972-2100
Kenai Peninsula College (Soldotna)	(877) 262-0330
University of South Dakota (Vermillion)	(877) 269-6837
Christian Brothers University (Memphis)	(877) 321-4228
Central College (Pella)	(877) 462-3687
Mississippi University for Women (Columbus)	(877) 462-8439
Stevenson University (Stevenson, Maryland)	(877) 468-6852
Nicholls State University (Thibodaux)	(877) 642-4655
University of Montana Western (Dillon)	(877) 683-7331
Western Connecticut State University (Danbury)	(877) 837-9278
Southern Illinois University Edwardsville (Edwardsville)	(888) 328-5168
Graziadio School of Business and Management (Los Angeles)	(888) 339-0109
City University of Seattle (Seattle)	(888) 422-4898
Eureka College (Eureka)	(888) 438-7352
Thomas Edison State College (Trenton)	(888) 442-8372
King's College (Wilkes-Barre)	(888) 546-4772
National Louis University (Chicago)	(888) 658-8632
Indiana University Northwest (Gary)	(888) 968-7486
University of the Sciences (Philadelphia)	(888) 996-8747
Memphis College of Art (Memphis)	(901) 272-5100
Southwest Tennessee Community College (Memphis)	(901) 333-5000
LeMoyne–Owen College (Memphis)	(901) 435-1500
University of Tennessee Health Science Center (Memphis)	(901) 448-5500
Baptist College of Health Sciences (Memphis)	(901) 575-2247
University of Memphis (Memphis)	(901) 678-2000
Rhodes College (Memphis)	(901) 843-3000
University of Texas at Tyler (Tyler)	(903) 566-7000
Texas College (Tyler)	(903) 593-8311
Paris Junior College (Paris)	(903) 785-7661
Austin College (Sherman)	(903) 813-2000
Texas A&M University–Commerce (Commerce)	(903) 886-5102
East Texas Baptist University (Marshall)	(903) 923-2000
Jacksonville University (Jacksonville)	(904) 256-8000
Edward Waters College (Jacksonville)	(904) 470-8000
University of North Florida (Jacksonville)	(904) 620-1000
Florida State College at Jacksonville (Jacksonville)	(904) 633-8100
Northern Michigan University (Marquette)	(906) 227-1000
Finlandia University (Hancock)	(906) 482-5300
Michigan Technological University (Houghton)	(906) 487-1885
Lake Superior State University (Sault Ste. Marie)	(906) 632-6841
University of Alaska Southeast (Juneau)	(907) 296-6000
University of Alaska Fairbanks (Fairbanks)	(907) 474-7211
Career Academy (Anchorage)	(907) 563-7575
University of Alaska Anchorage (Anchorage)	(907) 786-1800
Iḷisaġvik College (Barrow)	(907) 852-3333
Kean University (Union)	(908) 737-5326
Centenary College of New Jersey (Hackettstown)	(908) 852-1400
Mt. San Antonio College (Walnut)	(909) 274-7500
San Bernardino Valley College (San Bernardino)	(909) 384-4400
California State University, San Bernardino (San Bernardino)	(909) 537-5000
Loma Linda University (Loma Linda)	(909) 558-4505
University of La Verne (La Verne)	(909) 593-3511
Keck Graduate Institute of Applied Life Sciences (Claremont)	(909) 607-7855
Pomona College (Claremont)	(909) 621-8000
Harvey Mudd College (Claremont)	(909) 621-8000
Claremont Graduate University (Claremont)	(909) 621-8000
Scripps College (Claremont)	(909) 621-8000
Pitzer College (Claremont)	(909) 621-8000
Claremont McKenna College (Claremont)	(909) 621-8088
Chaffey College (Rancho Cucamonga)	(909) 652-6000
